r,is_click,group
0.0004,0,"(0.0003333, 0.0006667]"
0.00134,0,"(0.001333, 0.001667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.0001,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00016,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0001,0,"(-0.001, 0.0003333]"
9e-05,0,"(-0.001, 0.0003333]"
0.00014,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.00012,0,"(-0.001, 0.0003333]"
0.00011,0,"(-0.001, 0.0003333]"
0.00088,0,"(0.0006667, 0.001]"
0.00022,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.0003,0,"(-0.001, 0.0003333]"
0.00024,0,"(-0.001, 0.0003333]"
0.00012,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
8e-05,0,"(-0.001, 0.0003333]"
0.00041,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
9e-05,0,"(-0.001, 0.0003333]"
0.00091,0,"(0.0006667, 0.001]"
0.00037,0,"(0.0003333, 0.0006667]"
0.00348,0,"(0.003333, 0.003667]"
0.00012,0,"(-0.001, 0.0003333]"
9e-05,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.00279,0,"(0.002667, 0.003]"
0.00261,0,"(0.002333, 0.002667]"
0.00013,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00187,0,"(0.001667, 0.002]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00091,0,"(0.0006667, 0.001]"
0.00021,0,"(-0.001, 0.0003333]"
0.0003,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00087,0,"(0.0006667, 0.001]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00357,0,"(0.003333, 0.003667]"
0.00101,0,"(0.001, 0.001333]"
0.00011,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00101,0,"(0.001, 0.001333]"
0.00103,0,"(0.001, 0.001333]"
0.0001,0,"(-0.001, 0.0003333]"
0.0005,0,"(0.0003333, 0.0006667]"
0.00029,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00028,0,"(-0.001, 0.0003333]"
0.0005,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0001,0,"(-0.001, 0.0003333]"
0.00032,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00101,0,"(0.001, 0.001333]"
0.00012,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.0001,0,"(-0.001, 0.0003333]"
8e-05,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.0001,0,"(-0.001, 0.0003333]"
0.00101,0,"(0.001, 0.001333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00037,0,"(0.0003333, 0.0006667]"
0.00094,0,"(0.0006667, 0.001]"
0.00031,0,"(-0.001, 0.0003333]"
0.00012,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00031,0,"(-0.001, 0.0003333]"
0.00125,0,"(0.001, 0.001333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00011,0,"(-0.001, 0.0003333]"
0.003,0,"(0.002667, 0.003]"
0.00093,0,"(0.0006667, 0.001]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0005,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00101,0,"(0.001, 0.001333]"
0.00103,0,"(0.001, 0.001333]"
0.00013,0,"(-0.001, 0.0003333]"
0.00011,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00011,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00138,0,"(0.001333, 0.001667]"
0.00043,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00028,0,"(-0.001, 0.0003333]"
0.00094,0,"(0.0006667, 0.001]"
0.0002,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00025,0,"(-0.001, 0.0003333]"
0.00377,0,"(0.003667, 0.004]"
0.00012,0,"(-0.001, 0.0003333]"
0.00437,0,"(0.004333, 0.004667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00131,0,"(0.001, 0.001333]"
0.00032,0,"(-0.001, 0.0003333]"
0.00011,0,"(-0.001, 0.0003333]"
0.00047,0,"(0.0003333, 0.0006667]"
0.00031,0,"(-0.001, 0.0003333]"
0.0005,0,"(0.0003333, 0.0006667]"
0.0002,0,"(-0.001, 0.0003333]"
0.00072,0,"(0.0006667, 0.001]"
0.00038,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00016,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00013,0,"(-0.001, 0.0003333]"
0.00018,0,"(-0.001, 0.0003333]"
0.00147,0,"(0.001333, 0.001667]"
0.00192,0,"(0.001667, 0.002]"
0.0008,0,"(0.0006667, 0.001]"
0.00023,0,"(-0.001, 0.0003333]"
0.00422,0,"(0.004, 0.004333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00188,0,"(0.001667, 0.002]"
0.00348,0,"(0.003333, 0.003667]"
0.00103,0,"(0.001, 0.001333]"
0.0001,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00012,0,"(-0.001, 0.0003333]"
0.00111,0,"(0.001, 0.001333]"
0.00015,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00087,0,"(0.0006667, 0.001]"
0.0005,0,"(0.0003333, 0.0006667]"
0.00031,0,"(-0.001, 0.0003333]"
0.00037,0,"(0.0003333, 0.0006667]"
0.00101,0,"(0.001, 0.001333]"
0.00147,0,"(0.001333, 0.001667]"
0.00011,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00055,0,"(0.0003333, 0.0006667]"
0.00013,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
9e-05,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00011,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00094,0,"(0.0006667, 0.001]"
0.00012,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00118,0,"(0.001, 0.001333]"
0.00375,0,"(0.003667, 0.004]"
0.00101,0,"(0.001, 0.001333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
9e-05,0,"(-0.001, 0.0003333]"
0.00015,0,"(-0.001, 0.0003333]"
0.0009,0,"(0.0006667, 0.001]"
0.00055,0,"(0.0003333, 0.0006667]"
0.00101,0,"(0.001, 0.001333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00043,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00189,0,"(0.001667, 0.002]"
0.00055,0,"(0.0003333, 0.0006667]"
0.00101,0,"(0.001, 0.001333]"
0.00089,0,"(0.0006667, 0.001]"
0.0001,0,"(-0.001, 0.0003333]"
0.00166,0,"(0.001333, 0.001667]"
0.0003,0,"(-0.001, 0.0003333]"
0.00025,0,"(-0.001, 0.0003333]"
0.00104,0,"(0.001, 0.001333]"
0.00053,0,"(0.0003333, 0.0006667]"
0.0002,0,"(-0.001, 0.0003333]"
0.00019,0,"(-0.001, 0.0003333]"
0.0005,0,"(0.0003333, 0.0006667]"
0.00101,0,"(0.001, 0.001333]"
0.00126,0,"(0.001, 0.001333]"
0.00104,0,"(0.001, 0.001333]"
0.00037,0,"(0.0003333, 0.0006667]"
0.00011,0,"(-0.001, 0.0003333]"
0.00055,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0001,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.0003,0,"(-0.001, 0.0003333]"
0.00098,0,"(0.0006667, 0.001]"
0.00076,0,"(0.0006667, 0.001]"
0.00021,0,"(-0.001, 0.0003333]"
0.00045,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00159,0,"(0.001333, 0.001667]"
0.00031,0,"(-0.001, 0.0003333]"
0.00047,0,"(0.0003333, 0.0006667]"
0.00031,0,"(-0.001, 0.0003333]"
0.001,0,"(0.0006667, 0.001]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00188,0,"(0.001667, 0.002]"
0.0005,0,"(0.0003333, 0.0006667]"
0.00101,0,"(0.001, 0.001333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00031,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00012,0,"(-0.001, 0.0003333]"
0.00292,0,"(0.002667, 0.003]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00055,0,"(0.0003333, 0.0006667]"
0.0005,0,"(0.0003333, 0.0006667]"
0.00222,0,"(0.002, 0.002333]"
0.0005,0,"(0.0003333, 0.0006667]"
0.00092,0,"(0.0006667, 0.001]"
0.00101,0,"(0.001, 0.001333]"
0.0001,0,"(-0.001, 0.0003333]"
0.00029,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.00096,0,"(0.0006667, 0.001]"
0.0001,0,"(-0.001, 0.0003333]"
0.00032,0,"(-0.001, 0.0003333]"
0.00126,0,"(0.001, 0.001333]"
0.00034,0,"(0.0003333, 0.0006667]"
0.00012,0,"(-0.001, 0.0003333]"
0.00012,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00011,0,"(-0.001, 0.0003333]"
0.00011,0,"(-0.001, 0.0003333]"
0.0001,0,"(-0.001, 0.0003333]"
0.00014,0,"(-0.001, 0.0003333]"
0.00344,0,"(0.003333, 0.003667]"
0.00101,0,"(0.001, 0.001333]"
0.00047,0,"(0.0003333, 0.0006667]"
0.00021,0,"(-0.001, 0.0003333]"
0.0002,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.0014,0,"(0.001333, 0.001667]"
0.00072,0,"(0.0006667, 0.001]"
0.00081,0,"(0.0006667, 0.001]"
0.00038,0,"(0.0003333, 0.0006667]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00028,0,"(-0.001, 0.0003333]"
0.00013,0,"(-0.001, 0.0003333]"
0.00021,0,"(-0.001, 0.0003333]"
0.0003,0,"(-0.001, 0.0003333]"
0.00292,0,"(0.002667, 0.003]"
0.00021,0,"(-0.001, 0.0003333]"
0.0004,0,"(0.0003333, 0.0006667]"
0.00079,0,"(0.0006667, 0.001]"
0.0001,0,"(-0.001, 0.0003333]"
0.00037,0,"(0.0003333, 0.0006667]"
0.0002,0,"(-0.001, 0.0003333]"
0.0003,0,"(-0.001, 0.0003333]"
